iter	Passed	Remaining
0	539	538926
1	556	277639
2	564	187634
3	576	143645
4	586	116756
5	593	98295
6	604	85719
7	611	75808
8	622	68531
9	632	62608
10	646	58147
11	653	53829
12	659	50044
13	670	47210
14	681	44726
15	690	42484
16	699	40438
17	710	38757
18	720	37191
19	727	35643
20	736	34314
21	742	33016
22	750	31896
23	756	30760
24	762	29740
25	769	28841
26	775	27942
27	781	27136
28	786	26344
29	792	25612
30	798	24956
31	803	24314
32	809	23707
33	814	23150
34	820	22615
35	825	22110
36	830	21627
37	835	21163
38	841	20732
39	846	20324
40	852	19929
41	857	19564
42	862	19203
43	868	18863
44	873	18541
45	879	18237
46	884	17937
47	890	17652
48	895	17378
49	900	17112
50	906	16862
51	911	16622
52	916	16384
53	922	16154
54	927	15940
55	933	15732
56	938	15530
57	943	15330
58	949	15138
59	954	14955
60	959	14774
61	965	14599
62	970	14430
63	975	14265
64	980	14106
65	985	13948
66	991	13800
67	996	13655
68	1001	13517
69	1007	13379
70	1012	13246
71	1017	13116
72	1022	12985
73	1027	12861
74	1033	12744
75	1038	12629
76	1044	12517
77	1049	12406
78	1054	12295
79	1060	12190
80	1063	12070
81	1069	11968
82	1074	11872
83	1080	11777
84	1085	11687
85	1091	11599
86	1097	11519
87	1103	11441
88	1109	11360
89	1115	11274
90	1120	11189
91	1125	11106
92	1130	11027
93	1136	10950
94	1141	10872
95	1146	10797
96	1151	10724
97	1157	10651
98	1162	10584
99	1168	10512
100	1173	10445
101	1179	10380
102	1184	10312
103	1189	10247
104	1194	10184
105	1199	10120
106	1205	10060
107	1210	9999
108	1216	9940
109	1221	9883
110	1226	9825
111	1232	9769
112	1238	9723
113	1244	9669
114	1249	9614
115	1254	9560
116	1259	9508
117	1267	9475
118	1273	9428
119	1279	9383
120	1284	9332
121	1292	9305
122	1299	9263
123	1304	9214
124	1309	9166
125	1315	9122
126	1320	9075
127	1325	9028
128	1330	8984
129	1335	8939
130	1340	8894
131	1346	8851
132	1351	8809
133	1356	8766
134	1362	8726
135	1367	8686
136	1372	8646
137	1377	8606
138	1383	8566
139	1388	8528
140	1393	8489
141	1398	8451
142	1404	8414
143	1409	8377
144	1414	8341
145	1419	8303
146	1424	8266
147	1429	8229
148	1434	8194
149	1439	8159
150	1444	8123
151	1450	8090
152	1455	8055
153	1460	8023
154	1465	7989
155	1470	7956
156	1475	7924
157	1481	7896
158	1486	7864
159	1492	7834
160	1497	7801
161	1502	7770
162	1507	7740
163	1512	7709
164	1517	7679
165	1522	7650
166	1528	7622
167	1533	7592
168	1538	7565
169	1544	7538
170	1549	7513
171	1555	7486
172	1560	7460
173	1566	7434
174	1571	7409
175	1577	7383
176	1582	7357
177	1587	7331
178	1592	7305
179	1599	7287
180	1605	7263
181	1610	7239
182	1616	7217
183	1621	7192
184	1627	7168
185	1632	7143
186	1637	7120
187	1644	7101
188	1650	7081
189	1655	7057
190	1662	7039
191	1667	7016
192	1672	6993
193	1679	6975
194	1684	6954
195	1689	6932
196	1697	6918
197	1703	6899
198	1711	6890
199	1717	6869
200	1723	6852
201	1730	6834
202	1736	6818
203	1744	6806
204	1749	6786
205	1757	6772
206	1762	6751
207	1767	6730
208	1774	6714
209	1781	6702
210	1788	6688
211	1794	6668
212	1799	6648
213	1806	6633
214	1811	6613
215	1816	6593
216	1823	6578
217	1828	6559
218	1834	6542
219	1839	6523
220	1845	6505
221	1851	6489
222	1857	6471
223	1863	6456
224	1870	6441
225	1875	6423
226	1881	6407
227	1887	6390
228	1893	6373
229	1899	6358
230	1904	6340
231	1910	6323
232	1916	6308
233	1921	6290
234	1927	6274
235	1932	6257
236	1938	6239
237	1944	6225
238	1949	6208
239	1955	6193
240	1961	6177
241	1966	6160
242	1972	6143
243	1978	6129
244	1983	6113
245	1989	6096
246	1995	6083
247	2001	6067
248	2006	6051
249	2012	6038
250	2018	6022
251	2024	6009
252	2029	5992
253	2034	5976
254	2042	5966
255	2048	5952
256	2053	5938
257	2062	5932
258	2068	5917
259	2074	5905
260	2080	5889
261	2085	5874
262	2092	5863
263	2097	5847
264	2103	5835
265	2109	5820
266	2114	5806
267	2120	5791
268	2126	5777
269	2131	5763
270	2138	5752
271	2143	5737
272	2148	5722
273	2155	5712
274	2161	5697
275	2167	5684
276	2174	5675
277	2180	5662
278	2188	5654
279	2193	5640
280	2199	5628
281	2207	5620
282	2212	5606
283	2220	5599
284	2226	5586
285	2232	5573
286	2238	5562
287	2244	5549
288	2250	5535
289	2256	5524
290	2261	5510
291	2268	5499
292	2273	5486
293	2279	5474
294	2286	5463
295	2291	5450
296	2297	5437
297	2302	5424
298	2307	5410
299	2313	5398
300	2318	5385
301	2324	5371
302	2329	5359
303	2335	5346
304	2340	5333
305	2346	5320
306	2351	5307
307	2357	5296
308	2363	5285
309	2368	5272
310	2373	5259
311	2379	5246
312	2384	5232
313	2389	5219
314	2394	5207
315	2399	5194
316	2404	5181
317	2410	5168
318	2415	5156
319	2420	5143
320	2425	5130
321	2430	5118
322	2436	5106
323	2441	5093
324	2446	5080
325	2451	5068
326	2456	5056
327	2461	5043
328	2467	5031
329	2472	5019
330	2477	5006
331	2482	4995
332	2487	4983
333	2492	4970
334	2498	4958
335	2503	4946
336	2508	4934
337	2514	4924
338	2520	4913
339	2525	4902
340	2530	4891
341	2536	4880
342	2541	4868
343	2547	4857
344	2552	4845
345	2557	4834
346	2563	4823
347	2568	4812
348	2574	4801
349	2579	4790
350	2585	4779
351	2590	4768
352	2595	4757
353	2601	4748
354	2607	4737
355	2612	4726
356	2618	4716
357	2624	4705
358	2629	4694
359	2634	4683
360	2641	4676
361	2647	4666
362	2655	4660
363	2661	4650
364	2670	4645
365	2680	4642
366	2686	4634
367	2691	4623
368	2702	4620
369	2707	4609
370	2718	4609
371	2723	4597
372	2734	4596
373	2746	4597
374	2753	4588
375	2761	4583
376	2767	4573
377	2773	4563
378	2779	4554
379	2785	4545
380	2800	4549
381	2808	4543
382	2814	4533
383	2820	4524
384	2829	4519
385	2837	4513
386	2842	4502
387	2847	4491
388	2853	4482
389	2859	4472
390	2864	4461
391	2870	4451
392	2876	4442
393	2881	4432
394	2889	4425
395	2894	4415
396	2900	4405
397	2905	4395
398	2911	4384
399	2916	4374
400	2921	4364
401	2926	4353
402	2932	4343
403	2937	4333
404	2942	4322
405	2947	4312
406	2952	4301
407	2957	4291
408	2962	4280
409	2967	4270
410	2973	4261
411	2979	4251
412	2985	4242
413	2990	4233
414	2996	4223
415	3001	4213
416	3006	4203
417	3012	4194
418	3017	4183
419	3022	4173
420	3027	4163
421	3032	4153
422	3037	4143
423	3043	4134
424	3048	4124
425	3053	4113
426	3058	4103
427	3063	4093
428	3068	4084
429	3074	4075
430	3079	4065
431	3084	4055
432	3089	4045
433	3094	4035
434	3096	4022
435	3102	4012
436	3107	4003
437	3112	3993
438	3117	3984
439	3122	3974
440	3128	3965
441	3133	3956
442	3139	3947
443	3144	3938
444	3149	3928
445	3155	3919
446	3161	3910
447	3166	3901
448	3171	3892
449	3178	3884
450	3184	3876
451	3191	3869
452	3199	3863
453	3206	3856
454	3212	3847
455	3220	3842
456	3226	3833
