iter	Logloss
0	0.6844243885
1	0.6762235352
2	0.6689735059
3	0.6612319836
4	0.6541194696
5	0.6456884673
6	0.6395684519
7	0.6336917745
8	0.6271928164
9	0.6199815555
10	0.6138266155
11	0.6085648015
12	0.6041417478
13	0.5979557688
14	0.5930407268
15	0.5880407285
16	0.5831150519
17	0.5786385651
18	0.5744770345
19	0.5704844889
20	0.5655419061
21	0.561238492
22	0.5569121818
23	0.5530387993
24	0.5490503525
25	0.5455366388
26	0.5408752765
27	0.5370962349
28	0.5335618794
29	0.530359255
30	0.5258507443
31	0.5218018728
32	0.5195407385
33	0.515954201
34	0.5136543924
35	0.5112386741
36	0.5078904241
37	0.5056699536
38	0.5036640385
39	0.5004425861
40	0.4974832851
41	0.4955137613
42	0.4929349996
43	0.4895462584
44	0.4869777768
45	0.4842002502
46	0.4820290544
47	0.4800696392
48	0.4786198843
49	0.4760103652
50	0.4736453828
51	0.4707504522
52	0.4682159854
53	0.4661975429
54	0.4638826561
55	0.4620345142
56	0.4598500776
57	0.4576514892
58	0.4552671166
59	0.452588996
60	0.4506574373
61	0.4490030152
62	0.447256844
63	0.4454090132
64	0.4435136149
65	0.4415003052
66	0.4396785396
67	0.4386214031
68	0.437069723
69	0.4356266101
70	0.4334764974
71	0.4319242029
72	0.4305305293
73	0.4295878251
74	0.4281370488
75	0.4264156453
76	0.4247833091
77	0.4235069876
78	0.4222059854
79	0.4205999094
80	0.4192927877
81	0.4178211003
82	0.4165422659
83	0.4153262168
84	0.4141151919
85	0.4124444843
86	0.4111208913
87	0.4094336794
88	0.4084283987
89	0.4068741987
90	0.4053955635
91	0.4038366588
92	0.4028047706
93	0.4017422751
94	0.40069905
95	0.3994105391
96	0.3984519888
97	0.3971938226
98	0.3959961631
99	0.3945421861
100	0.392923519
101	0.3918393826
102	0.3901922503
103	0.3894895581
104	0.3882784059
105	0.3871060802
106	0.386171183
107	0.3851459347
108	0.3842728809
109	0.3834460137
110	0.382511729
111	0.3813085998
112	0.3798920846
113	0.3790273482
114	0.3780381936
115	0.3770564455
116	0.3763883705
117	0.3756935396
118	0.3743518411
119	0.3737637901
120	0.3725457961
121	0.3714547554
122	0.3705941729
123	0.3696901581
124	0.3686688753
125	0.3675117517
126	0.366518684
127	0.3655123337
128	0.3638854309
129	0.3630527984
130	0.3623858521
131	0.3615578539
132	0.3605621179
133	0.3597503471
134	0.3586439062
135	0.3577246538
136	0.357024757
137	0.3561736489
138	0.3552768643
139	0.3544469872
140	0.353592096
141	0.3525784446
142	0.3519298691
143	0.3511233135
144	0.3503848366
145	0.3493799101
146	0.3486656903
147	0.3479053938
148	0.3472533974
149	0.3465310144
150	0.3460561816
151	0.3452593041
152	0.3446198961
153	0.343649044
154	0.3432009746
155	0.3424000412
156	0.3416005195
157	0.3405552162
158	0.3397121725
159	0.3390230799
160	0.3385555492
161	0.3379228108
162	0.3374143766
163	0.336748907
164	0.3359483883
165	0.3351697175
166	0.3345818136
167	0.3336623534
168	0.3330442652
169	0.3324644999
170	0.3320118002
171	0.3313902554
172	0.3304180284
173	0.329729831
174	0.3290359146
175	0.3284065997
176	0.3279435112
177	0.3272033096
178	0.3263033216
179	0.3257427603
180	0.3251124245
181	0.324746285
182	0.3239229738
183	0.3236642517
184	0.3231585584
185	0.3227496371
186	0.3222708629
187	0.3218953744
188	0.3210750312
189	0.320469462
190	0.3194804053
191	0.3189740292
192	0.3185848753
193	0.3179094814
194	0.3175627848
195	0.3169483479
196	0.3164457233
197	0.3157999621
198	0.3151063577
199	0.3147429477
200	0.3142913263
201	0.313807635
202	0.3133491948
203	0.3129663523
204	0.3125094521
205	0.3114200234
206	0.3106553717
207	0.3100163258
208	0.3093612714
209	0.3085920129
210	0.3080760581
211	0.3076274265
212	0.3072543809
213	0.3069617724
214	0.3065958657
215	0.3061423625
216	0.3053666225
217	0.3047337274
218	0.3039890415
219	0.3034618089
220	0.3030820831
221	0.3024304249
222	0.3020338688
223	0.3017043992
224	0.3010837963
225	0.3005327478
226	0.300084243
227	0.2996625993
228	0.2992637236
229	0.2988740053
230	0.2983584584
231	0.2977572441
232	0.2974197488
233	0.2968729292
234	0.2963175915
235	0.2960325505
236	0.2956100305
237	0.295123354
238	0.2947303358
239	0.2942826176
240	0.2939634988
241	0.2935891221
